sid,session,age,grade,fluency,symbolic,nonsymbolic,mixed,stroop,ordinality,number_to_line,line_to_number,add,mult,sub
242816,1,15.5455725255,,0.9375,1.0,0.6,0.57,1.0,0.4,1.0,1.0,0.94,0.9,0.966666666667
471605,1,16.9302601531,,0.9375,1.0,0.6,0.64,1.0,1.0,1.0,1.0,0.94,0.96,0.916666666667
462958,1,17.495003193,,0.71875,1.0,0.78,0.78,1.0,0.82962962963,1.0,1.0,0.8,0.58,0.766666666667
251566,1,15.7591609608,,0.65625,1.0,0.79,0.43,1.0,0.518518518519,0.92,0.7,0.78,0.46,0.716666666667
142323,1,14.3924620794,,0.44375,1.0,0.8,0.93,1.0,0.233333333333,0.79,0.43,0.62,0.12,0.566666666667
466764,1,14.789203406,,0.0,1.0,0.57,0.32,1.0,0.0,0.39,0.08,0.0,0.0,0.0
995804,1,9.77544786328,4.0,0.33125,,0.6,0.07,1.0,0.0666666666667,0.08,0.17,0.54,0.0,0.433333333333
515097,1,10.8979875496,5.0,0.5125,1.0,0.55,0.07,1.0,0.0666666666667,0.33,0.31,0.7,0.24,0.583333333333
125258,1,9.92603921317,5.0,0.325,1.0,0.79,0.07,1.0,0.166666666667,0.51,,0.54,0.0,0.416666666667
142291,1,11.2046391553,6.0,0.5,1.0,0.7,0.7,1.0,0.037037037037,0.12,0.34,0.64,0.16,0.566666666667
434729,1,11.7412632563,6.0,0.10625,1.0,0.92,0.07,1.0,0.240740740741,0.81,0.0,0.16,0.0,0.15
402867,1,10.0163849791,4.0,0.43125,1.0,0.0,0.02,1.0,0.103703703704,0.39,0.35,0.62,0.12,0.533333333333
436385,1,8.67754832596,8.0,0.3875,1.0,0.54,0.42,0.98,0.607407407407,0.26,0.07,0.6,0.06,0.483333333333
706913,1,9.23334823338,4.0,0.35,1.0,0.07,0.07,1.0,0.0666666666667,,0.0,0.54,0.0,0.483333333333
931850,1,11.3415371358,6.0,0.44375,1.0,0.73,0.58,1.0,0.037037037037,0.7,,0.64,0.16,0.516666666667
860701,1,9.8712741015,5.0,0.28125,1.0,0.46,0.79,1.0,0.166666666667,0.0,0.31,0.46,0.0,0.366666666667
875151,1,,4.0,0.3625,0.46,0.82,0.18,1.0,0.037037037037,0.08,0.58,0.56,0.0,0.5
793723,1,10.5092082087,5.0,0.70625,1.0,0.57,0.55,1.0,0.203703703704,1.0,0.31,0.8,0.56,0.75
496620,1,10.2326824213,5.0,0.25,1.0,0.7,0.07,0.98,0.57037037037,0.41,,0.36,0.0,0.366666666667
199767,1,9.16216775308,4.0,0.24375,0.09,0.72,0.07,1.0,0.0666666666667,0.46,0.31,0.42,0.0,0.3
961977,1,9.13481330516,4.0,0.18125,0.98,0.69,0.53,1.0,0.62962962963,0.14,,0.3,0.0,0.233333333333
478489,1,10.2600607942,5.0,0.0,1.0,0.62,0.09,1.0,0.27037037037,0.71,,0.0,0.0,0.0
736367,1,,,0.0,1.0,0.71,0.57,1.0,0.177777777778,0.7,0.23,0.0,0.0,0.0
216794,1,,,0.225,1.0,0.07,0.6,1.0,0.307407407407,0.58,,0.32,0.0,0.333333333333
877289,1,,,0.36875,1.0,0.28,0.64,1.0,0.037037037037,1.0,0.31,0.54,0.06,0.483333333333
914185,1,,,0.0,0.98,0.67,0.61,1.0,0.0,0.11,,0.0,0.0,0.0
502720,1,16.6598455389,,0.65,1.0,0.98,0.57,1.0,0.833333333333,,1.0,0.8,0.42,0.716666666667
991934,1,8.13543022152,3.0,0.24375,0.8,0.45,0.7,1.0,0.203703703704,,,0.38,0.0,0.333333333333
537453,1,8.8144344232,3.0,0.35625,1.0,0.64,0.5,1.0,0.166666666667,0.12,,0.52,0.06,0.466666666667
217713,1,,3.0,0.2375,1.0,0.47,0.37,1.0,0.381481481481,0.23,0.38,0.32,0.12,0.266666666667
278065,1,7.9437793612,2.0,0.0,0.98,0.5,0.07,1.0,0.233333333333,0.0,,0.0,0.0,0.0
554095,1,,2.0,0.1875,1.0,0.82,0.54,0.98,0.166666666667,0.49,,0.28,0.0,0.266666666667
967780,1,,3.0,0.0,0.57,0.46,0.58,1.0,0.0,,,0.0,0.0,0.0
259814,1,7.05943771122,2.0,0.20625,0.07,0.89,0.07,1.0,0.133333333333,0.17,0.0,0.3,0.0,0.3
850252,1,7.2894165761,2.0,0.0,0.18,1.0,0.09,1.0,0.166666666667,0.11,,0.0,0.0,0.0
847508,1,8.32162437614,3.0,0.14375,1.0,0.07,0.75,1.0,0.0,,,0.22,0.0,0.2
158916,1,8.74325863284,3.0,0.1625,1.0,0.47,0.68,1.0,0.0,0.08,,0.26,0.0,0.216666666667
974924,1,7.52214868534,2.0,0.0,0.98,0.09,0.09,1.0,0.0,0.6,,0.0,0.0,0.0
342753,1,,2.0,0.0,0.62,0.55,0.09,1.0,0.166666666667,,,0.0,0.0,0.0
823788,1,6.68984786617,2.0,0.0,0.67,0.57,0.53,1.0,0.0666666666667,0.11,,0.0,0.0,0.0
710710,1,7.42361385219,2.0,0.18125,0.8,0.62,0.09,0.0,0.103703703704,,,0.26,0.0,0.266666666667
862316,1,18.496827989,,0.46875,1.0,0.48,1.0,1.0,0.037037037037,1.0,0.93,0.68,0.2,0.516666666667
268360,1,,,0.0,,0.87,,,,,,0.0,0.0,0.0
670985,1,,,0.84375,1.0,0.64,0.92,1.0,,1.0,1.0,0.86,0.7,0.95
651563,1,,,0.39375,0.09,0.87,0.44,0.98,0.037037037037,0.92,0.32,0.58,0.06,0.516666666667
824860,1,10.7611031636,5.0,0.43125,0.8,0.67,0.6,1.0,0.103703703704,0.7,0.31,0.62,0.1,0.55
800555,1,10.3476854482,5.0,0.4625,1.0,0.65,0.33,1.0,0.037037037037,0.71,0.23,0.68,0.18,0.516666666667
880203,1,9.51262761372,4.0,0.5375,1.0,0.77,0.69,1.0,0.662962962963,1.0,,0.7,0.28,0.616666666667
606684,1,11.3388146295,5.0,0.43125,1.0,0.6,0.66,1.0,0.0666666666667,0.5,0.07,0.62,0.12,0.533333333333
186834,1,11.1553679519,5.0,0.23125,0.07,0.66,0.98,1.0,0.166666666667,0.35,0.0,0.36,0.0,0.316666666667
596376,1,11.2758407086,5.0,0.45625,0.61,0.57,0.43,1.0,0.140740740741,1.0,0.46,0.64,0.16,0.55
876977,1,10.7720545698,5.0,0.0875,0.93,0.48,0.07,1.0,0.0,0.15,0.07,0.14,0.0,0.116666666667
553097,1,11.1225183281,5.0,0.01875,1.0,0.07,0.41,1.0,0.233333333333,0.45,0.58,0.02,0.0,0.0333333333333
453838,1,,5.0,0.00625,0.98,1.0,1.0,1.0,0.0666666666667,0.55,0.15,0.34,0.0,0.316666666667
684891,1,11.2539321288,5.0,0.05625,1.0,0.78,0.68,1.0,0.0,0.66,0.07,0.04,0.0,0.116666666667
646649,1,10.7558123801,5.0,0.63125,1.0,0.83,0.57,1.0,0.0666666666667,,0.15,0.76,0.44,0.683333333333
332609,1,11.1117420339,5.0,0.2875,1.0,0.75,0.76,1.0,0.140740740741,0.4,0.07,0.36,0.04,0.433333333333
530283,1,11.3225594474,5.0,0.55625,1.0,0.57,0.47,1.0,0.503703703704,0.85,0.15,0.74,0.3,0.616666666667
557847,1,10.657256062,5.0,0.21875,0.72,0.46,0.7,1.0,0.381481481481,0.2,0.39,0.3,0.0,0.333333333333
863772,1,10.4299994499,5.0,0.5,1.0,0.7,0.6,1.0,0.0,,0.15,0.68,0.22,0.583333333333
431950,1,10.5066654093,5.0,0.46875,1.0,0.83,0.46,1.0,0.437037037037,0.48,0.15,0.66,0.18,0.55
550142,1,10.8242628756,5.0,0.25625,1.0,0.89,0.72,0.98,0.0,0.54,0.31,0.38,0.0,0.366666666667
