n1,n2,ratio,sid,RT,ACC,easyness
17.0,19.0,0.89,288527,884.0,1.0,0.558
15.0,17.0,0.88,288527,847.0,1.0,0.5765
16.0,18.0,0.89,288527,900.0,1.0,0.55
15.0,17.0,0.88,288527,747.0,0.0,-0.3735
13.0,14.0,0.93,288527,1039.0,1.0,0.4805
14.0,16.0,0.88,288527,892.0,1.0,0.554
12.0,13.0,0.92,288527,918.0,0.0,-0.459
13.0,14.0,0.93,288527,657.0,1.0,0.6715
11.0,12.0,0.92,288527,703.0,0.0,-0.3515
9.0,10.0,0.9,288527,637.0,1.0,0.6815
7.0,8.0,0.88,288527,690.0,1.0,0.655
5.0,7.0,0.71,288527,755.0,1.0,0.6225
3.0,6.0,0.5,288527,674.0,1.0,0.663
1.0,4.0,0.25,288527,720.0,1.0,0.64
3.0,5.0,0.6,288527,724.0,1.0,0.638
2.0,9.0,0.22,288527,821.0,1.0,0.5895
3.0,4.0,0.75,288527,789.0,1.0,0.6055
1.0,4.0,0.25,288527,789.0,1.0,0.6055
3.0,9.0,0.33,288527,1266.0,1.0,0.367
25.0,28.0,0.89,288527,808.0,1.0,0.596
27.0,33.0,0.82,288527,1109.0,1.0,0.4455
25.0,28.0,0.89,288527,1983.0,0.0,-0.9915
27.0,33.0,0.82,288527,1116.0,0.0,-0.558
25.0,28.0,0.89,288527,952.0,1.0,0.524
27.0,33.0,0.82,288527,1152.0,1.0,0.424
24.0,27.0,0.89,288527,1203.0,1.0,0.3985
26.0,32.0,0.81,288527,4753.0,1.0,-1.3765
,,,446644,,,
,,,446644,,,
3.0,9.0,0.33,446644,2410.0,0.0,-1.205
3.0,9.0,0.33,446644,2599.0,0.0,-1.2995
22.0,24.0,0.92,446644,911.0,1.0,0.5445
21.0,23.0,0.91,446644,1168.0,1.0,0.416
20.0,22.0,0.91,446644,1103.0,1.0,0.4485
18.0,20.0,0.9,446644,1074.0,1.0,0.463
16.0,18.0,0.89,446644,822.0,1.0,0.589
14.0,16.0,0.88,446644,949.0,1.0,0.5255
12.0,13.0,0.92,446644,899.0,1.0,0.5505
11.0,12.0,0.92,446644,973.0,1.0,0.5135
10.0,11.0,0.91,446644,1148.0,1.0,0.426
